Vendor,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,Ratecode,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
Verifone Inc.,2016-06-09 23:12:26,2016-06-09 23:20:01,2,1.51,-73.98088836669922,40.74430847167969,Standard,N,-73.9993896484375,40.73585891723633,Credit card,7.5,0.5,0.5,1.0,0.0,0.3,9.8
Verifone Inc.,2016-06-04 21:15:56,2016-06-04 21:51:32,3,17.69,-73.96746063232422,40.7723503112793,JFK,N,-73.78591918945312,40.64310073852539,Credit card,52.0,0.0,0.5,15.84,0.0,0.3,68.64
Verifone Inc.,2016-06-11 14:24:29,2016-06-11 14:34:41,1,0.7,-73.98226928710938,40.7681999206543,Standard,N,-73.98359680175781,40.76295852661133,Cash,7.5,0.0,0.5,0.0,0.0,0.3,8.3
Verifone Inc.,2016-06-08 22:36:12,2016-06-08 23:19:07,1,18.93,-73.78205871582031,40.64470291137695,JFK,N,-73.97822570800781,40.76447296142578,Credit card,52.0,0.0,0.5,11.67,5.54,0.3,70.01
Creative Mobile Technologies,2016-06-13 20:15:26,2016-06-13 20:22:24,1,1.1,-73.98983764648438,40.740779876708984,Standard,N,-74.00012969970703,40.72847366333008,Credit card,6.5,0.5,0.5,1.0,0.0,0.3,8.8
Verifone Inc.,2016-06-14 13:25:52,2016-06-14 13:33:37,3,1.21,-73.99735260009766,40.72159194946289,Standard,N,-73.98885345458984,40.73699188232422,Cash,7.0,0.0,0.5,0.0,0.0,0.3,7.8
Creative Mobile Technologies,2016-06-14 21:26:55,2016-06-14 21:40:57,1,3.9,-73.97467041015625,40.74234390258789,Standard,N,-73.97539520263672,40.77862548828125,Credit card,13.5,0.5,0.5,2.95,0.0,0.3,17.75
Creative Mobile Technologies,2016-06-15 21:53:18,2016-06-15 22:03:36,1,1.0,-73.9770278930664,40.762290954589844,Standard,N,-73.97618103027344,40.7496223449707,Cash,8.0,0.5,0.5,0.0,0.0,0.3,9.3
Verifone Inc.,2016-06-18 17:54:23,2016-06-18 18:14:13,2,3.64,-73.99658203125,40.72565841674805,Standard,N,-73.97240447998047,40.681148529052734,Credit card,16.5,0.0,0.5,3.0,0.0,0.3,20.3
Creative Mobile Technologies,2016-06-24 14:07:42,2016-06-24 14:40:35,1,9.1,-73.98522186279297,40.73582077026367,Standard,N,-73.87088012695312,40.773963928222656,Credit card,31.0,0.0,0.5,7.45,5.54,0.3,44.79
Creative Mobile Technologies,2016-06-25 21:26:03,2016-06-25 21:31:26,1,1.0,-73.97078704833984,40.74765396118164,Standard,N,-73.96907043457031,40.757659912109375,Cash,6.0,0.5,0.5,0.0,0.0,0.3,7.3
Creative Mobile Technologies,2016-06-27 07:41:51,2016-06-27 08:04:46,1,8.2,-73.91258239746094,40.74592971801758,Standard,N,-73.92767333984375,40.82847213745117,Cash,25.0,0.0,0.5,0.0,5.54,0.3,31.34
Verifone Inc.,2016-06-28 14:29:24,2016-06-28 14:56:42,4,6.55,-74.00972747802734,40.701881408691406,Standard,N,-73.97538757324219,40.765350341796875,Cash,22.5,0.0,0.5,0.0,0.0,0.3,23.3
